ANIO;MINICIO;MES;CODSEXO;CODMUN;MUN112;PROV;ISLA;RECURSO;FRECURSO
2005;08;Agosto;;35016;Las Palmas;Las Palmas;Gran Canaria;NA;NA
2009;06;Junio;Mu;35016;Las Palmas;Las Palmas;Gran Canaria;NA;NA
2010;11;Noviembre;;38020;Güimar;Tenerife;Tenerife;Policia Local;Sin Recurso Disponible
2012;08;Agosto;Mu;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;NA;NA
2013;02;Febrero;Mu;38049;Valle Gran Rey;Tenerife;La Gomera;Médico Urgencias;Transporte Urg. Medicalizado
2011;02;Febrero;;38001;Adeje;Tenerife;Tenerife;Policia Local;Informacion sin Seguimiento
2012;03;Marzo;Ho;38028;Puerto de la Cruz;Tenerife;Tenerife;Ambulancia SVB;Sin Recurso Disponible
2010;07;Julio;;38035;San Miguel;Tenerife;Tenerife;NA;NA
2009;05;Mayo;Ho;38006;Arona;Tenerife;Tenerife;Guardia Civil;Varios
2010;07;Julio;;35026;Telde;Las Palmas;Gran Canaria;Ambulancia SVB;Asistencia in situ
2007;06;Junio;;35012;Mogán;Las Palmas;Gran Canaria;Policia Local;Informacion sin Seguimiento
2006;05;Mayo;Mu;35016;Las Palmas;Las Palmas;Gran Canaria;NA;NA
2011;03;Marzo;Mu;35015;Pájara;Las Palmas;Fuerteventura;Ambulancia SVB;Transp. Urg. NO Medicalizado
2008;09;Septiembre;Ho;35026;Telde;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
2013;10;Octubre;;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Cuerpo Nacional de Policia;Actuación in situ
2009;04;Abril;;38023;Laguna La;Tenerife;Tenerife;Policia Local;Informacion sin Seguimiento
2012;01;Enero;Mu;38048;Valverde;Tenerife;El Hierro;Otros;Transporte Secundario
2012;11;Noviembre;Mu;38031;Realejos Los;Tenerife;Tenerife;Ambulancia SVB;Sin Recurso Disponible
2010;11;Noviembre;;35026;Telde;Las Palmas;Gran Canaria;Cuerpo Nacional de Policia;Informacion sin Seguimiento
2007;02;Febrero;Ho;38020;Güimar;Tenerife;Tenerife;Ambulancia SVB;Asistencia in situ
2014;01;Enero;Mu;35024;Teguise;Las Palmas;Lanzarote;NA;NA
2008;02;Febrero;Ho;35011;Ingenio;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
2012;10;Octubre;Mu;38006;Arona;Tenerife;Tenerife;Guardia Civil;Actuación in situ
2010;05;Mayo;;35012;Mogán;Las Palmas;Gran Canaria;Guardia Civil;Servicio Preventivo
2006;01;Enero;Mu;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Ambulancia SVB;Transp. Urg. NO Medicalizado
2010;05;Mayo;Mu;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Cuerpo Nacional de Policia;Informacion sin Seguimiento
2008;06;Junio;Ho;38019;Guia de Isora;Tenerife;Tenerife;NA;NA
2007;10;Octubre;Mu;38006;Arona;Tenerife;Tenerife;Ambulancia SVB;Transporte Secundario
2013;05;Mayo;;38012;Fasnia;Tenerife;Tenerife;NA;NA
2009;09;Septiembre;;35026;Telde;Las Palmas;Gran Canaria;Policia Local;Informacion sin Seguimiento
2011;01;Enero;Mu;35016;Las Palmas;Las Palmas;Gran Canaria;Vehículo Asistencia Médica;Asistencia in situ
2011;02;Febrero;Ho;38051;Victoria de Acentejo La;Tenerife;Tenerife;Ambulancia SVB;Transp. Urg. NO Medicalizado
2013;03;Marzo;;38048;Valverde;Tenerife;El Hierro;Otros;Informacion sin Seguimiento
2012;03;Marzo;Ho;38021;Hermigüa;Tenerife;La Gomera;Ambulancia SVB;Transporte Urg. Medicalizado
2005;12;Diciembre;Ho;35016;Las Palmas;Las Palmas;Gran Canaria;Ambulancia SVA;Transporte Urg. Medicalizado
2013;08;Agosto;Ho;38032;Rosario El;Tenerife;Tenerife;Ambulancia SVB;Rechazo Posterior Protocolo
2011;05;Mayo;;38043;Tacoronte;Tenerife;Tenerife;Guardia Civil;Informacion sin Seguimiento
2006;06;Junio;;38023;Laguna La;Tenerife;Tenerife;NA;NA
2013;01;Enero;Mu;38023;Laguna La;Tenerife;Tenerife;Ambulancia SVB;Rechazo Posterior Protocolo
2008;01;Enero;Ho;38022;Icod de los Vinos;Tenerife;Tenerife;Ambulancia SVB;Sin Recurso Disponible
2007;09;Septiembre;Mu;35016;Las Palmas;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
2007;08;Agosto;Mu;35018;San Bartolomé Lanzarote;Las Palmas;Lanzarote;Ambulancia SVB;Anulado Indicación Alertante
2011;05;Mayo;Ho;35016;Las Palmas;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
2008;08;Agosto;Mu;35026;Telde;Las Palmas;Gran Canaria;Cuerpo Nacional de Policia;Informacion sin Seguimiento
2008;10;Octubre;;35016;Las Palmas;Las Palmas;Gran Canaria;NA;NA
2014;06;Junio;Ho;35013;Moya;Las Palmas;Gran Canaria;NA;Rechazo Inicial Protocolo
2009;02;Febrero;;38991;MAR Tenerife;Tenerife;Tenerife;Cuerpo Nacional de Policia;Informacion sin Seguimiento
2007;10;Octubre;;38021;Hermigüa;Tenerife;La Gomera;NA;NA
2014;03;Marzo;Ho;35018;San Bartolomé Lanzarote;Las Palmas;Lanzarote;Ambulancia SVB;Rechaza Traslado
2008;08;Agosto;;38026;Orotava La;Tenerife;Tenerife;Policia Local;Rechazo Inicial Protocolo
2006;06;Junio;;35002;Agüimes;Las Palmas;Gran Canaria;Guardia Civil;Informacion sin Seguimiento
2005;10;Octubre;;38017;Granadilla de Abona;Tenerife;Tenerife;Otros;Actuación in situ
2013;11;Noviembre;Ho;35026;Telde;Las Palmas;Gran Canaria;Ambulancia Sanitarizada;Transporte Urg. Sanitarizado
2005;05;Mayo;Ho;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Cuerpo Nacional de Policia;Actuación in situ
2005;12;Diciembre;Mu;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;NA;NA
2010;05;Mayo;Mu;35006;Arucas;Las Palmas;Gran Canaria;NA;NA
2011;04;Abril;Ho;35016;Las Palmas;Las Palmas;Gran Canaria;Policia Local;Actuación in situ
2012;05;Mayo;;38006;Arona;Tenerife;Tenerife;Policia Local;Intervención Pospuesta
2010;07;Julio;;35016;Las Palmas;Las Palmas;Gran Canaria;NA;NA
2009;03;Marzo;;35026;Telde;Las Palmas;Gran Canaria;Policia Local;Informacion sin Seguimiento
2013;05;Mayo;Ho;35016;Las Palmas;Las Palmas;Gran Canaria;Vehículo Asistencia Médica;Asistencia in situ
2010;01;Enero;Ho;35011;Ingenio;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
2010;05;Mayo;;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;AAVV Proteccion Civil;Informacion sin Seguimiento
2005;11;Noviembre;Ho;35002;Agüimes;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
2014;02;Febrero;;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;CECOP Proteccion Civil;Informacion sin Seguimiento
2012;09;Septiembre;;38991;MAR Tenerife;Tenerife;Tenerife;NA;NA
2009;11;Noviembre;Mu;38028;Puerto de la Cruz;Tenerife;Tenerife;Ambulancia SVB;Transp. Urg. NO Medicalizado
2013;04;Abril;;35016;Las Palmas;Las Palmas;Gran Canaria;Cuerpo Nacional de Policia;NA
2007;12;Diciembre;Mu;35016;Las Palmas;Las Palmas;Gran Canaria;Cuerpo Nacional de Policia;Informacion sin Seguimiento
2011;04;Abril;Mu;35004;Arrecife;Las Palmas;Lanzarote;Médico Urgencias;Transporte Urg. Medicalizado
2006;04;Abril;;38023;Laguna La;Tenerife;Tenerife;Otros;Informacion sin Seguimiento
2010;10;Octubre;;35017;Puerto Rosario;Las Palmas;Fuerteventura;NA;NA
2011;03;Marzo;Mu;35004;Arrecife;Las Palmas;Lanzarote;Ambulancia SVB;Transp. Urg. NO Medicalizado
2012;03;Marzo;Ho;35026;Telde;Las Palmas;Gran Canaria;Ambulancia SVB;Sin Recurso Disponible
2009;10;Octubre;Mu;38039;Santa Ursula;Tenerife;Tenerife;Ambulancia SVB;Transp. Urg. NO Medicalizado
2014;05;Mayo;;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Policia Local;Informacion sin Seguimiento
2006;11;Noviembre;Mu;38022;Icod de los Vinos;Tenerife;Tenerife;Ambulancia SVB;Alta Voluntaria
2005;06;Junio;Ho;35003;Antigua;Las Palmas;Fuerteventura;NA;NA
2013;12;Diciembre;;35006;Arucas;Las Palmas;Gran Canaria;Policia Local;Informacion sin Seguimiento
2014;04;Abril;Ho;35019;San Bartolomé Tirajana;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
2009;07;Julio;Ho;35002;Agüimes;Las Palmas;Gran Canaria;NA;NA
2009;11;Noviembre;;38023;Laguna La;Tenerife;Tenerife;NA;NA
2005;09;Septiembre;Ho;38024;Llanos de Aridane Los;Tenerife;La Palma;Ambulancia SVB;Transp. Urg. NO Medicalizado
2010;11;Noviembre;Mu;38024;Llanos de Aridane Los;Tenerife;La Palma;Ambulancia SVB;Transp. Urg. NO Medicalizado
2014;08;Agosto;Ho;38007;Barlovento;Tenerife;La Palma;Ambulancia SVB;Transp. Urg. NO Medicalizado
2005;08;Agosto;Mu;35019;San Bartolomé Tirajana;Las Palmas;Gran Canaria;Ambulancia SVA;Intervención Pospuesta
2008;12;Diciembre;Mu;35019;San Bartolomé Tirajana;Las Palmas;Gran Canaria;NA;NA
2007;06;Junio;;38006;Arona;Tenerife;Tenerife;Guardia Civil;Asistencia in situ
2013;07;Julio;;38023;Laguna La;Tenerife;Tenerife;Policia Local;Informacion sin Seguimiento
2008;01;Enero;Ho;35026;Telde;Las Palmas;Gran Canaria;NA;Transp. Urg. NO Medicalizado
2010;04;Abril;Mu;35019;San Bartolomé Tirajana;Las Palmas;Gran Canaria;Ambulancia Sanitarizada;Transporte Urg. Sanitarizado
2013;09;Septiembre;Mu;35026;Telde;Las Palmas;Gran Canaria;Guardia Civil;Informacion sin Seguimiento
2014;07;Julio;Ho;35012;Mogán;Las Palmas;Gran Canaria;Ambulancia SVB;Anulado Indicación Alertante
2005;11;Noviembre;;38006;Arona;Tenerife;Tenerife;NA;NA
2009;10;Octubre;;38991;MAR Tenerife;Tenerife;Tenerife;CECOP Proteccion Civil;Anulado por Informe Otro Recu
2008;07;Julio;Mu;35011;Ingenio;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
2014;04;Abril;Mu;35028;Tías;Las Palmas;Lanzarote;Policia Local;Informacion sin Seguimiento
2008;10;Octubre;Ho;38005;Arico;Tenerife;Tenerife;Enfermero;Asistencia in situ
2014;10;Octubre;Ho;38001;Adeje;Tenerife;Tenerife;NA;No Valorable / Error
2014;07;Julio;;38006;Arona;Tenerife;Tenerife;Policia Local;Informacion sin Seguimiento
2005;08;Agosto;Mu;35002;Agüimes;Las Palmas;Gran Canaria;NA;NA
2011;03;Marzo;Ho;35026;Telde;Las Palmas;Gran Canaria;Ambulancia SVA;Transporte Urg. Sanitarizado
2005;07;Julio;Mu;35018;San Bartolomé Lanzarote;Las Palmas;Lanzarote;Guardia Civil;Incidente Resuelto
2010;02;Febrero;Mu;35016;Las Palmas;Las Palmas;Gran Canaria;Ambulancia SVB;Transporte Secundario
2010;10;Octubre;Ho;35018;San Bartolomé Lanzarote;Las Palmas;Lanzarote;Ambulancia SVA;Transporte Urg. Medicalizado
2008;12;Diciembre;Mu;38043;Tacoronte;Tenerife;Tenerife;NA;NA
2009;10;Octubre;Ho;35016;Las Palmas;Las Palmas;Gran Canaria;Vehículo Asistencia Médica;Ya Evacuado
2008;08;Agosto;Ho;35010;Haría;Las Palmas;Lanzarote;Ambulancia SVB;Transp. Urg. NO Medicalizado
2005;07;Julio;Ho;38022;Icod de los Vinos;Tenerife;Tenerife;Ambulancia SVB;Sin Recurso Disponible
2005;06;Junio;;38006;Arona;Tenerife;Tenerife;Ambulancia SVB;Anulado Indicación Alertante
2012;01;Enero;Mu;35016;Las Palmas;Las Palmas;Gran Canaria;NA;NA
2014;10;Octubre;Mu;38028;Puerto de la Cruz;Tenerife;Tenerife;Ambulancia SVB;Transporte Secundario
2007;12;Diciembre;;35016;Las Palmas;Las Palmas;Gran Canaria;AAVV Proteccion Civil;Rechazo Posterior Protocolo
2007;11;Noviembre;;38023;Laguna La;Tenerife;Tenerife;Otros;Informacion sin Seguimiento
2007;12;Diciembre;Ho;38006;Arona;Tenerife;Tenerife;Policia Local;Actuación in situ
2006;01;Enero;Ho;38011;Candelaria;Tenerife;Tenerife;Ambulancia SVB;Transp. Urg. NO Medicalizado
2010;07;Julio;Mu;35032;Valleseco;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
2014;05;Mayo;;38049;Valle Gran Rey;Tenerife;La Gomera;Ambulancia SVB;Servicio Preventivo
2010;12;Diciembre;;35006;Arucas;Las Palmas;Gran Canaria;Bomberos;Varios
2013;10;Octubre;Ho;35002;Agüimes;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
2013;02;Febrero;Mu;35027;Teror;Las Palmas;Gran Canaria;NA;No Valorable / Error
2011;07;Julio;;35016;Las Palmas;Las Palmas;Gran Canaria;Policia Local;Informacion sin Seguimiento
2007;11;Noviembre;Mu;38001;Adeje;Tenerife;Tenerife;NA;NA
2012;03;Marzo;;38023;Laguna La;Tenerife;Tenerife;Cuerpo Nacional de Policia;Informacion sin Seguimiento
2013;10;Octubre;;38023;Laguna La;Tenerife;Tenerife;Policia Local;Informacion sin Seguimiento
2012;08;Agosto;;38027;Paso EL;Tenerife;La Palma;Policia Local;Intervención Pospuesta
2011;04;Abril;Mu;35016;Las Palmas;Las Palmas;Gran Canaria;Ambulancia SVB;Rechaza Traslado
2011;12;Diciembre;;35028;Tías;Las Palmas;Lanzarote;NA;NA
2009;12;Diciembre;Ho;38032;Rosario El;Tenerife;Tenerife;Ambulancia SVB;Anulado por Informe Otro Recu
2013;08;Agosto;Ho;35022;Santa Lucía;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
2005;04;Abril;;35019;San Bartolomé Tirajana;Las Palmas;Gran Canaria;Bomberos;Extincion de Incendios
2005;02;Febrero;;35013;Moya;Las Palmas;Gran Canaria;Otros;Informacion sin Seguimiento
2006;08;Agosto;;35026;Telde;Las Palmas;Gran Canaria;Guardia Civil;Informacion sin Seguimiento
2013;11;Noviembre;Mu;35016;Las Palmas;Las Palmas;Gran Canaria;Ambulancia SVB;Anulado Indicación Alertante
2005;05;Mayo;Ho;38031;Realejos Los;Tenerife;Tenerife;Ambulancia SVB;Transp. Urg. NO Medicalizado
2006;10;Octubre;Mu;35016;Las Palmas;Las Palmas;Gran Canaria;Ambulancia SVB;Rechazo Posterior Protocolo
2007;02;Febrero;Ho;35017;Puerto Rosario;Las Palmas;Fuerteventura;Cuerpo Nacional de Policia;Informacion sin Seguimiento
2011;11;Noviembre;;38023;Laguna La;Tenerife;Tenerife;Policia Local;Sin Recurso Disponible
2007;11;Noviembre;Ho;38028;Puerto de la Cruz;Tenerife;Tenerife;Ambulancia SVB;Sin Recurso Disponible
2006;02;Febrero;Ho;35016;Las Palmas;Las Palmas;Gran Canaria;NA;Transp. Urg. NO Medicalizado
2007;05;Mayo;;38011;Candelaria;Tenerife;Tenerife;Policia Local;Informacion sin Seguimiento
2008;07;Julio;Ho;35028;Tías;Las Palmas;Lanzarote;Guardia Civil;Informacion sin Seguimiento
2014;11;Noviembre;Mu;38026;Orotava La;Tenerife;Tenerife;NA;NA
2011;11;Noviembre;Mu;38039;Santa Ursula;Tenerife;Tenerife;Policia Local;Informacion sin Seguimiento
2011;12;Diciembre;Mu;35016;Las Palmas;Las Palmas;Gran Canaria;Ambulancia SVB;Sin Recurso Disponible
2010;11;Noviembre;;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Otros;Actuación in situ
2009;10;Octubre;;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Policia Local;Informacion sin Seguimiento
2005;12;Diciembre;;35017;Puerto Rosario;Las Palmas;Fuerteventura;NA;NA
2008;04;Abril;Mu;35016;Las Palmas;Las Palmas;Gran Canaria;NA;Intervención Pospuesta
2009;03;Marzo;Mu;35034;Yaiza;Las Palmas;Lanzarote;Guardia Civil;Informacion sin Seguimiento
2005;07;Julio;Ho;35026;Telde;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
2006;03;Marzo;Ho;35016;Las Palmas;Las Palmas;Gran Canaria;NA;NA
2007;02;Febrero;Mu;35016;Las Palmas;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
2010;07;Julio;Mu;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Ambulancia SVB;Transp. Urg. NO Medicalizado
2006;12;Diciembre;Ho;38008;Breña Alta;Tenerife;La Palma;Guardia Civil;Actuación in situ
2011;10;Octubre;Mu;38051;Victoria de Acentejo La;Tenerife;Tenerife;Ambulancia SVB;Asistencia in situ
2008;08;Agosto;Ho;38043;Tacoronte;Tenerife;Tenerife;Guardia Civil;Anulado por Informe Otro Recu
2012;08;Agosto;Ho;38028;Puerto de la Cruz;Tenerife;Tenerife;Ambulancia SVB;Rechazo Posterior Protocolo
2008;06;Junio;;35016;Las Palmas;Las Palmas;Gran Canaria;Ambulancia SVB;Anulado por Informe Otro Recu
2007;07;Julio;;38017;Granadilla de Abona;Tenerife;Tenerife;Policia Local;Informacion sin Seguimiento
2006;09;Septiembre;;38006;Arona;Tenerife;Tenerife;Cuerpo Nacional de Policia;Informacion sin Seguimiento
2012;12;Diciembre;;38023;Laguna La;Tenerife;Tenerife;Cuerpo Nacional de Policia;Informacion sin Seguimiento
2010;02;Febrero;Ho;35026;Telde;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
2008;07;Julio;;35016;Las Palmas;Las Palmas;Gran Canaria;Guardia Civil;Rechazo Posterior Protocolo
2010;10;Octubre;;35026;Telde;Las Palmas;Gran Canaria;Cuerpo Nacional de Policia;Rechazo Posterior Protocolo
2008;08;Agosto;;38012;Fasnia;Tenerife;Tenerife;NA;NA
2012;07;Julio;Ho;35014;La Oliva;Las Palmas;Fuerteventura;Guardia Civil;Informacion sin Seguimiento
2009;12;Diciembre;Mu;38036;San Sebastian de La Gomera;Tenerife;La Gomera;Ambulancia SVB;Transp. Urg. NO Medicalizado
2007;03;Marzo;;35016;Las Palmas;Las Palmas;Gran Canaria;Bomberos;Informacion sin Seguimiento
2008;02;Febrero;Ho;35019;San Bartolomé Tirajana;Las Palmas;Gran Canaria;NA;NA
2007;08;Agosto;Mu;35022;Santa Lucía;Las Palmas;Gran Canaria;Ambulancia SVA;Varios
2005;10;Octubre;;35004;Arrecife;Las Palmas;Lanzarote;Cuerpo Nacional de Policia;Rechazo Inicial Protocolo
2010;04;Abril;Mu;35016;Las Palmas;Las Palmas;Gran Canaria;Ambulancia Sanitarizada;Rechaza Traslado
2014;02;Febrero;Ho;38006;Arona;Tenerife;Tenerife;NA;NA
2008;03;Marzo;Ho;38013;Frontera;Tenerife;El Hierro;Ambulancia SVB;Rechazo Posterior Protocolo
2013;09;Septiembre;;35026;Telde;Las Palmas;Gran Canaria;Bomberos;Servicio Preventivo
2007;08;Agosto;Mu;35028;Tías;Las Palmas;Lanzarote;Ambulancia SVB;Transp. Urg. NO Medicalizado
2006;05;Mayo;;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Policia Local;Actuación in situ
2008;01;Enero;Mu;35017;Puerto Rosario;Las Palmas;Fuerteventura;Ambulancia SVB;Rechazo Inicial Protocolo
2009;03;Marzo;Ho;35016;Las Palmas;Las Palmas;Gran Canaria;NA;NA
2014;02;Febrero;Mu;38023;Laguna La;Tenerife;Tenerife;Cuerpo Nacional de Policia;Informacion sin Seguimiento
2005;01;Enero;Mu;35026;Telde;Las Palmas;Gran Canaria;Ambulancia SVB;Sin Recurso Disponible
2012;09;Septiembre;;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;NA;NA
2014;12;Diciembre;Ho;35016;Las Palmas;Las Palmas;Gran Canaria;Ambulancia SVB;Rechaza Traslado
2008;11;Noviembre;Ho;35002;Agüimes;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
2013;11;Noviembre;Mu;38022;Icod de los Vinos;Tenerife;Tenerife;Policia Local;Informacion sin Seguimiento
2012;05;Mayo;Mu;35016;Las Palmas;Las Palmas;Gran Canaria;NA;NA
2011;01;Enero;Mu;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Vehículo Interv. Rapida;Asistencia in situ
2009;09;Septiembre;;38044;Tanque El;Tenerife;Tenerife;NA;NA
2005;08;Agosto;Mu;38017;Granadilla de Abona;Tenerife;Tenerife;NA;NA
2005;02;Febrero;Ho;35016;Las Palmas;Las Palmas;Gran Canaria;Ambulancia SVB;Falsa Alarma
2008;02;Febrero;Mu;35016;Las Palmas;Las Palmas;Gran Canaria;Ambulancia SVA;Asistencia in situ
2006;05;Mayo;;38031;Realejos Los;Tenerife;Tenerife;Cuerpo Nacional de Policia;Informacion sin Seguimiento
2008;06;Junio;Mu;35016;Las Palmas;Las Palmas;Gran Canaria;NA;NA
2011;02;Febrero;;35006;Arucas;Las Palmas;Gran Canaria;Guardia Civil;Varios
2011;06;Junio;;38020;Güimar;Tenerife;Tenerife;Policia Local;Rechazo Inicial Protocolo
2006;09;Septiembre;;35016;Las Palmas;Las Palmas;Gran Canaria;Cuerpo Nacional de Policia;Rechazo Posterior Protocolo
2010;03;Marzo;Mu;35016;Las Palmas;Las Palmas;Gran Canaria;NA;NA
2012;05;Mayo;Mu;38048;Valverde;Tenerife;El Hierro;Helicóptero Medicalizado;Transporte Secundario
2005;07;Julio;Mu;35016;Las Palmas;Las Palmas;Gran Canaria;NA;NA
2008;12;Diciembre;;38023;Laguna La;Tenerife;Tenerife;Policia Local;Informacion sin Seguimiento
2007;01;Enero;Ho;35004;Arrecife;Las Palmas;Lanzarote;Ambulancia SVB;Sin Recurso Disponible
2013;10;Octubre;Ho;35026;Telde;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
2008;09;Septiembre;Ho;35034;Yaiza;Las Palmas;Lanzarote;Ambulancia SVB;Rechazo Posterior Protocolo
2008;07;Julio;;35016;Las Palmas;Las Palmas;Gran Canaria;Policia Local;Informacion sin Seguimiento
2014;10;Octubre;;38017;Granadilla de Abona;Tenerife;Tenerife;Guardia Civil;Rechazo Inicial Protocolo
2007;03;Marzo;Mu;38023;Laguna La;Tenerife;Tenerife;Ambulancia SVB;Transp. Urg. NO Medicalizado
2009;04;Abril;Mu;35016;Las Palmas;Las Palmas;Gran Canaria;Ambulancia Sanitarizada;Transporte Urg. Sanitarizado
2007;01;Enero;;35016;Las Palmas;Las Palmas;Gran Canaria;Policia Local;Anulado Indicación Alertante
2014;05;Mayo;;38019;Guia de Isora;Tenerife;Tenerife;Guardia Civil;Informacion sin Seguimiento
2011;07;Julio;;35003;Antigua;Las Palmas;Fuerteventura;Bomberos;Anulado por Informe Otro Recu
2010;11;Noviembre;;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;NA;NA
2005;07;Julio;;38026;Orotava La;Tenerife;Tenerife;Bomberos;Actuación in situ
2014;08;Agosto;Mu;35016;Las Palmas;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
2011;06;Junio;;38022;Icod de los Vinos;Tenerife;Tenerife;Guardia Civil;Informacion sin Seguimiento
2005;01;Enero;;38001;Adeje;Tenerife;Tenerife;Cuerpo Nacional de Policia;Informacion sin Seguimiento
2009;09;Septiembre;Ho;35016;Las Palmas;Las Palmas;Gran Canaria;Ambulancia SVB;Asistencia in situ
2006;04;Abril;;38006;Arona;Tenerife;Tenerife;Cuerpo Nacional de Policia;Rechazo Inicial Protocolo
2011;03;Marzo;;35019;San Bartolomé Tirajana;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
2009;02;Febrero;;35016;Las Palmas;Las Palmas;Gran Canaria;Policia Local;Informacion sin Seguimiento
2013;07;Julio;Mu;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Policia Local;Actuación in situ
2008;07;Julio;Mu;35016;Las Palmas;Las Palmas;Gran Canaria;Ambulancia SVB;Rechazo Inicial Protocolo
2005;01;Enero;;38026;Orotava La;Tenerife;Tenerife;Guardia Civil;Informacion sin Seguimiento
2005;04;Abril;;35031;Valsequillo;Las Palmas;Gran Canaria;NA;NA
2013;10;Octubre;;35022;Santa Lucía;Las Palmas;Gran Canaria;Policia Local;Informacion sin Seguimiento
2012;07;Julio;;35016;Las Palmas;Las Palmas;Gran Canaria;Policia Local;Informacion sin Seguimiento
2007;02;Febrero;Mu;38023;Laguna La;Tenerife;Tenerife;NA;NA
2013;08;Agosto;Ho;38048;Valverde;Tenerife;El Hierro;Ambulancia SVB;Transporte Secundario
2009;11;Noviembre;Ho;35016;Las Palmas;Las Palmas;Gran Canaria;NA;NA
2005;07;Julio;Ho;35017;Puerto Rosario;Las Palmas;Fuerteventura;Ambulancia SVA;Transporte Urg. Medicalizado
2005;08;Agosto;Ho;38027;Paso EL;Tenerife;La Palma;Otros;Informacion sin Seguimiento
2012;01;Enero;;35020;San Nicolás Tolentino;Las Palmas;Gran Canaria;Gruas;Informacion sin Seguimiento
2014;04;Abril;Mu;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Ambulancia SVB;Intervención Pospuesta
2006;03;Marzo;Mu;35016;Las Palmas;Las Palmas;Gran Canaria;Ambulancia SVA;Transporte Secundario
2010;11;Noviembre;;35016;Las Palmas;Las Palmas;Gran Canaria;Guardia Civil;Informacion sin Seguimiento
2005;06;Junio;Mu;38044;Tanque El;Tenerife;Tenerife;NA;NA
2007;09;Septiembre;Ho;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Policia Local;Anulado por Informe Otro Recu
2011;03;Marzo;Mu;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Policia Local;Informacion sin Seguimiento
2014;10;Octubre;;38023;Laguna La;Tenerife;Tenerife;Policia Local;Informacion sin Seguimiento
2011;06;Junio;;38004;Arafo;Tenerife;Tenerife;Guardia Civil;Informacion sin Seguimiento
2008;09;Septiembre;Ho;35015;Pájara;Las Palmas;Fuerteventura;Guardia Civil;Rechazo Posterior Protocolo
2012;12;Diciembre;Ho;35016;Las Palmas;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
2012;01;Enero;Mu;35026;Telde;Las Palmas;Gran Canaria;Ambulancia SVA;Sin Recurso Disponible
2013;12;Diciembre;;38023;Laguna La;Tenerife;Tenerife;Otros;Informacion sin Seguimiento
2011;10;Octubre;;38046;Tegueste;Tenerife;Tenerife;AAVV Proteccion Civil;No Valorable / Error
2010;10;Octubre;Ho;38019;Guia de Isora;Tenerife;Tenerife;Ambulancia SVB;Rechazo Posterior Protocolo
2012;02;Febrero;;38025;Matanza de Acentejo La;Tenerife;Tenerife;NA;NA
2012;07;Julio;Mu;35016;Las Palmas;Las Palmas;Gran Canaria;NA;NA
2012;09;Septiembre;Ho;35006;Arucas;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
2008;08;Agosto;;38991;MAR Tenerife;Tenerife;Tenerife;Otros;Informacion sin Seguimiento
